Dose,Geography Type,School Year,Population Size,Percent Surveyed,Footnotes,Number of Exemptions,Survey Type,Vax,State,Perc,SUMLEV,REGION,DIVISION,STATE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024,Population,state_postal,total_area_rank,total_area_sq_mi,total_area_km2,land_area_rank,land_area_km2,percent_land,water_area_rank,water_area_sq_mi,water_area_km2,percent_water,Area
,States,2023-24,80639.0,88.5,§,,"Census (pub.), vol. response (prv.)",MMR,Indiana,90.8,40,2,3,18,6786587,6790497,6815907,6844545,6880131,3910,25410,28638,35586,44144,19436,77715,80484,79794,79422,19164,77891,79651,72089,70263,272,-176,833,7705,9159,342,6065,25958,25365,30852,1683,16463,4652,3173,4268,2025,22528,30610,28538,35120,1613,3058,-2805,-657,-135,11.423297441,11.783504675,11.627815476,11.506760957,11.449167613,11.661546778,10.505020301,10.179793321,-0.025870171,0.1219578971,1.1227951756,1.3269676363,0.8914919769,3.8004598969,3.6962621194,4.4698772262,2.4198899283,0.6810902011,0.4623788569,0.6183532997,3.3113819052,4.481550098,4.1586409763,5.0882305258,6924275,IN,38,36419.55,94326,38,92789,0.9837,39,593.44,1537,0.0163,35826.11
,States,2023-24,20699.0,100.0,*,,Census,MMR,New Mexico,95.0,40,4,8,35,2117555,2118606,2117333,2113868,2121164,1051,-1273,-3465,7296,9092,5327,21433,21441,21571,20833,5510,24657,25427,22436,22270,-183,-3224,-3986,-865,-1437,155,2261,5702,9904,12103,729,-1039,-4616,-1487,-1571,884,1222,1086,8417,10532,350,729,-565,-256,-3,10.11959804,10.134711161,10.186936014,9.8004901892,11.641810706,12.018809789,10.595433517,10.476499617,-1.522212666,-1.884098628,-0.408497504,-0.676009427,1.0675318979,2.6952158501,4.6771783543,5.6936270705,-0.490564194,-2.181886419,-0.702237905,-0.739047189,0.5769677042,0.5133294306,3.9749404491,4.9545798815,2130256,NM,5,121590.3,314917,5,314161,0.9976,49,292.15,757,0.0024,121298.15
,States,2023-24,65424.0,100.0,*. ‡,,Census,MMR,Massachusetts,96.3,40,1,1,25,7033132,6994598,7000474,7022468,7066568,-38534,5876,21994,44100,69603,17113,66440,68959,68144,67851,22112,61657,63764,61574,61133,-4999,4783,5195,6570,6718,908,16475,72892,74610,90217,-29143,-14713,-54843,-36572,-27480,-28235,1762,18049,38038,62737,-5300,-669,-1250,-508,148,9.4947707307,9.8351686829,9.6733374803,9.5546359051,8.8112444152,9.0942399961,8.7406973763,8.6086211962,0.6835263155,0.7409286867,0.932640104,0.9460147089,2.3544001774,10.396106609,10.591214331,12.704169245,-2.102597257,-7.821896432,-5.191554624,-3.869676124,0.2518029203,2.5742101764,5.399659707,8.8344931214,7136171,MA,44,10554.39,27336,45,20202,0.739,16,2754.33,7134,0.261,7800.06
,States,2023-24,49979.0,93.8,‡,,"Census (pub.), vol. response (prv.)",MMR,Oklahoma,88.3,40,3,7,40,3959405,3965415,3992238,4026229,4063882,6010,26823,33991,37653,31511,11579,47473,48249,48693,47642,10346,50810,51638,45300,44506,1233,-3337,-3389,3393,3136,176,2181,12261,11835,14358,3911,26585,26026,22660,14036,4087,28766,38287,34495,28394,690,1394,-907,-235,-19,11.931407414,12.03446993,12.03765931,11.677998352,12.770096912,12.879768664,11.198857469,10.909302603,-0.838689498,-0.845298734,0.8388018409,0.7686957481,0.5481515718,3.0581905494,2.9257942196,3.5194303415,6.6816183113,6.4915151487,5.6019008886,3.4405017603,7.2297698832,9.5497056981,8.5276951083,6.9599321018,4095393,OK,20,69898.87,181037,19,177660,0.9813,30,1303.95,3377,0.0187,68594.92
,States,2023-24,7874.0,100.0,*,,Census,MMR,District of Columbia,92.0,40,3,5,11,689545,670917,669256,676725,687324,-18628,-1661,7469,10599,14926,2187,8508,8502,8061,7746,2007,5840,5603,5035,4985,180,2668,2899,3026,2761,53,1747,10017,10320,12502,-15117,-6432,-4864,-2580,-337,-15064,-4685,5153,7740,12165,-3744,356,-583,-167,0,12.69686824,12.633164956,11.819223503,11.148740549,8.7152927271,8.3255261404,7.3824327425,7.1748607847,3.981575513,4.3076388151,4.4367907604,3.9738797646,2.6071260949,14.884311146,15.131421232,17.994003918,-9.598760757,-7.227442289,-3.782855308,-0.485040739,-6.991634662,7.6568688562,11.348565924,17.508963179,702250,DC,—,68.34,177,—,158,0.8933,—,7.29,19,0.1067,61.05
,States,2023-24,74834.0,99.6,,,Census,MMR,Arizona,89.3,40,4,8,4,7158110,7187135,7274078,7377566,7473027,29025,86943,103488,95461,109357,18110,75693,79173,78647,78322,17991,80277,79806,70779,68662,119,-4584,-633,7868,9660,251,8017,33411,52767,64486,30189,83565,68790,35208,34902,30440,91582,102201,87975,99388,-1534,-55,1920,-382,309,10.468416446,10.807387894,10.591765595,10.404498423,11.102388161,10.89379458,9.5321446086,9.1212388689,-0.633971715,-0.086406686,1.0596209862,1.2832595537,1.1087589955,4.5607168725,7.1063828899,8.566488155,11.557121799,9.3900725407,4.741628836,4.6364725613,12.665880794,13.950789413,11.848011726,13.202960716,7582384,AZ,6,113990.3,295234,6,294207,0.9965,48,396.22,1026,0.0035,113594.08
,States,2023-24,84053.0,97.2,§,,Census,MMR,Washington,91.3,40,4,9,53,7707586,7727209,7743760,7794123,7857320,19623,16551,50363,63197,100860,21105,82602,83978,82165,82072,15169,64953,70873,67819,65635,5936,17649,13105,14346,16437,667,13991,43544,67068,81581,12045,-15688,-3452,-17293,2671,12712,-1697,40092,49775,84252,975,599,-2834,-924,171,10.678322735,10.80945197,10.499351402,10.378679144,8.396759117,9.1226069858,8.666165797,8.3000853593,2.2815636176,1.686844984,1.8331856047,2.0785937846,1.808677918,5.6048819521,8.5702002045,10.316588157,-2.028056549,-0.444333375,-2.209764301,0.3377699093,-0.219378631,5.1605485767,6.3604359036,10.654358066,7958180,WA,18,71297.95,184661,20,172119,0.9321,11,4842.43,12542,0.0679,66455.52
,States,2023-24,31261.0,91.3,,,Census,MMR,Nevada,91.9,40,4,8,32,3105595,3116967,3148141,3176116,3214363,11372,31174,27975,38247,53104,8168,33362,33533,32797,31951,7007,32376,33468,29391,28893,1161,986,65,3406,3058,137,3612,7725,27009,33005,10423,25674,20262,8174,16853,10560,29286,27987,35183,49858,-349,902,-77,-342,188,10.650095737,10.60456588,10.264332298,9.8586356014,10.335336598,10.584010106,9.1983715149,8.9150749094,0.314759139,0.0205557744,1.0659607832,0.943560692,1.1530527487,2.4429747241,8.4528874909,10.1838524,8.1958682915,6.4077092376,2.5581806935,5.2000746703,9.3489210401,8.8506839618,11.011068184,15.38392707,3267467,NV,7,110571.82,286380,7,284332,0.9928,36,790.65,2048,0.0072,109781.18
,States,2023-24,92633.0,1.9,†,,Stratified 2-stage cluster sample,MMR,Virginia,94.2,40,3,5,51,8631388,8637615,8658910,8683414,8734685,6227,21295,24504,51271,76510,23580,94275,95620,94428,93593,19692,83637,86147,79759,78443,3888,10638,9473,14669,15150,766,14319,41157,46416,56155,137,-4643,-25629,-9646,5284,903,9676,15528,36770,61439,1436,981,-497,-168,-79,10.901033589,11.027357118,10.842515018,10.66837343,9.6709599182,9.9348853129,9.1581750684,8.9414723,1.2300736709,1.0924718048,1.6843399501,1.7269011301,1.6557082998,4.7464226825,5.3296286811,6.4009328686,-0.536870845,-2.95565923,-1.107583554,0.6023066384,1.1188374543,1.7907634525,4.2220451267,7.0032395069,8811195,VA,35,42774.93,110787,36,102279,0.9232,15,3284.84,8508,0.0768,39490.09
,States,2023-24,46228.0,100.0,*,,Census,MMR,Utah,88.8,40,4,8,49,3271608,3284077,3339738,3391011,3443222,12469,55661,51273,52211,60391,11862,45704,46280,45448,45695,4973,21976,23312,21196,21709,6889,23728,22968,24252,23986,118,2055,15177,27421,33133,4658,30032,13488,493,3220,4776,32087,28665,27914,36353,804,-154,-360,45,52,13.799902322,13.751812763,13.300102586,13.155631305,6.6354510203,6.9270151063,6.2028906536,6.2500404861,7.1644513019,6.8247976562,7.0972119329,6.9055908194,0.620488344,4.5097506979,8.0246020292,9.5390202877,9.0678861049,4.0078749037,0.1442736881,0.9270408754,9.6883744489,8.5176256015,8.1688757173,10.466061163,3503613,UT,13,84896.88,219882,12,212818,0.9679,17,2727.26,7064,0.0321,82169.62
